Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml19_292b_0081_part11.wav,11,55,0:55,0.3971,ANOMALIE
ml19_292b_0081_part30.wav,30,150,2:30,0.3925,ANOMALIE
ml19_292b_0081_part55.wav,55,275,4:35,0.3793,ANOMALIE
ml19_292b_0081_part14.wav,14,70,1:10,0.3782,ANOMALIE
ml19_292b_0081_part31.wav,31,155,2:35,0.3769,ANOMALIE
ml19_292b_0081_part7.wav,7,35,0:35,0.3711,ANOMALIE
ml19_292b_0081_part51.wav,51,255,4:15,0.3664,ANOMALIE
ml19_292b_0081_part10.wav,10,50,0:50,0.3658,ANOMALIE
ml19_292b_0081_part58.wav,58,290,4:50,0.3598,ANOMALIE
ml19_292b_0081_part1.wav,1,5,0:05,0.355,ANOMALIE
ml19_292b_0081_part81.wav,81,405,6:45,0.3502,ANOMALIE
ml19_292b_0081_part69.wav,69,345,5:45,0.3485,ANOMALIE
ml19_292b_0081_part18.wav,18,90,1:30,0.345,ANOMALIE
ml19_292b_0081_part27.wav,27,135,2:15,0.3397,ANOMALIE
ml19_292b_0081_part46.wav,46,230,3:50,0.3373,ANOMALIE
ml19_292b_0081_part37.wav,37,185,3:05,0.3364,ANOMALIE
ml19_292b_0081_part26.wav,26,130,2:10,0.335,ANOMALIE
ml19_292b_0081_part16.wav,16,80,1:20,0.332,ANOMALIE
ml19_292b_0081_part62.wav,62,310,5:10,0.3308,ANOMALIE
ml19_292b_0081_part17.wav,17,85,1:25,0.3257,RAS
ml19_292b_0081_part61.wav,61,305,5:05,0.3246,RAS
ml19_292b_0081_part74.wav,74,370,6:10,0.3246,RAS
ml19_292b_0081_part82.wav,82,410,6:50,0.3244,RAS
ml19_292b_0081_part8.wav,8,40,0:40,0.3243,RAS
ml19_292b_0081_part66.wav,66,330,5:30,0.3239,RAS
ml19_292b_0081_part64.wav,64,320,5:20,0.3208,RAS
ml19_292b_0081_part32.wav,32,160,2:40,0.3185,RAS
ml19_292b_0081_part23.wav,23,115,1:55,0.3183,RAS
ml19_292b_0081_part65.wav,65,325,5:25,0.3177,RAS
ml19_292b_0081_part41.wav,41,205,3:25,0.3171,RAS
ml19_292b_0081_part68.wav,68,340,5:40,0.3167,RAS
ml19_292b_0081_part0.wav,0,0,0:00,0.3141,RAS
ml19_292b_0081_part6.wav,6,30,0:30,0.3134,RAS
ml19_292b_0081_part79.wav,79,395,6:35,0.3119,RAS
ml19_292b_0081_part5.wav,5,25,0:25,0.3117,RAS
ml19_292b_0081_part57.wav,57,285,4:45,0.3114,RAS
ml19_292b_0081_part22.wav,22,110,1:50,0.3111,RAS
ml19_292b_0081_part59.wav,59,295,4:55,0.3106,RAS
ml19_292b_0081_part78.wav,78,390,6:30,0.31,RAS
ml19_292b_0081_part77.wav,77,385,6:25,0.3078,RAS
ml19_292b_0081_part76.wav,76,380,6:20,0.3065,RAS
ml19_292b_0081_part28.wav,28,140,2:20,0.3059,RAS
ml19_292b_0081_part52.wav,52,260,4:20,0.304,RAS
ml19_292b_0081_part50.wav,50,250,4:10,0.3037,RAS
ml19_292b_0081_part35.wav,35,175,2:55,0.3022,RAS
ml19_292b_0081_part39.wav,39,195,3:15,0.3016,RAS
ml19_292b_0081_part44.wav,44,220,3:40,0.3011,RAS
ml19_292b_0081_part29.wav,29,145,2:25,0.3005,RAS
ml19_292b_0081_part25.wav,25,125,2:05,0.2996,RAS
ml19_292b_0081_part73.wav,73,365,6:05,0.2994,RAS
ml19_292b_0081_part48.wav,48,240,4:00,0.2994,RAS
ml19_292b_0081_part34.wav,34,170,2:50,0.2967,RAS
ml19_292b_0081_part40.wav,40,200,3:20,0.2948,RAS
ml19_292b_0081_part38.wav,38,190,3:10,0.2932,RAS
ml19_292b_0081_part70.wav,70,350,5:50,0.2932,RAS
ml19_292b_0081_part36.wav,36,180,3:00,0.2929,RAS
ml19_292b_0081_part72.wav,72,360,6:00,0.2895,RAS
ml19_292b_0081_part49.wav,49,245,4:05,0.2891,RAS
ml19_292b_0081_part42.wav,42,210,3:30,0.289,RAS
ml19_292b_0081_part53.wav,53,265,4:25,0.2883,RAS
ml19_292b_0081_part13.wav,13,65,1:05,0.287,RAS
ml19_292b_0081_part21.wav,21,105,1:45,0.2858,RAS
ml19_292b_0081_part54.wav,54,270,4:30,0.2854,RAS
ml19_292b_0081_part2.wav,2,10,0:10,0.2844,RAS
ml19_292b_0081_part4.wav,4,20,0:20,0.2841,RAS
ml19_292b_0081_part80.wav,80,400,6:40,0.2833,RAS
ml19_292b_0081_part45.wav,45,225,3:45,0.2815,RAS
ml19_292b_0081_part63.wav,63,315,5:15,0.2806,RAS
ml19_292b_0081_part56.wav,56,280,4:40,0.2798,RAS
ml19_292b_0081_part24.wav,24,120,2:00,0.2792,RAS
ml19_292b_0081_part75.wav,75,375,6:15,0.2792,RAS
ml19_292b_0081_part47.wav,47,235,3:55,0.2763,RAS
ml19_292b_0081_part43.wav,43,215,3:35,0.2712,RAS
ml19_292b_0081_part12.wav,12,60,1:00,0.2709,RAS
ml19_292b_0081_part9.wav,9,45,0:45,0.2709,RAS
ml19_292b_0081_part67.wav,67,335,5:35,0.2697,RAS
ml19_292b_0081_part33.wav,33,165,2:45,0.2681,RAS
ml19_292b_0081_part19.wav,19,95,1:35,0.265,RAS
ml19_292b_0081_part3.wav,3,15,0:15,0.2648,RAS
ml19_292b_0081_part60.wav,60,300,5:00,0.2643,RAS
ml19_292b_0081_part15.wav,15,75,1:15,0.2635,RAS
ml19_292b_0081_part71.wav,71,355,5:55,0.2634,RAS
ml19_292b_0081_part20.wav,20,100,1:40,0.2492,RAS
