Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml17_280a_0083_part0.wav,0,0,0:00,0.5812,ANOMALIE,Yes,,ml17_280a_00830000
ml17_280a_0083_part1.wav,1,5,0:05,0.2752,ANOMALIE,Yes,,ml17_280a_00830001
ml17_280a_0083_part2.wav,2,10,0:10,0.5571,ANOMALIE,Yes,,ml17_280a_00830002
ml17_280a_0083_part3.wav,3,15,0:15,0.205,RAS,Yes (-),,ml17_280a_00830003
ml17_280a_0083_part4.wav,4,20,0:20,0.5054,ANOMALIE,Yes,,ml17_280a_00830004
ml17_280a_0083_part5.wav,5,25,0:25,0.186,RAS,Yes (-),,ml17_280a_00830005
ml17_280a_0083_part6.wav,6,30,0:30,0.5519,ANOMALIE,,,ml17_280a_00830006
ml17_280a_0083_part7.wav,7,35,0:35,0.5343,ANOMALIE,,,ml17_280a_00830007
ml17_280a_0083_part8.wav,8,40,0:40,0.4727,ANOMALIE,,,ml17_280a_00830008
ml17_280a_0083_part9.wav,9,45,0:45,0.5062,ANOMALIE,,,ml17_280a_00830009
ml17_280a_0083_part10.wav,10,50,0:50,0.4804,ANOMALIE,,,ml17_280a_00830010
ml17_280a_0083_part11.wav,11,55,0:55,0.4637,ANOMALIE,,,ml17_280a_00830011
ml17_280a_0083_part12.wav,12,60,1:00,0.4229,ANOMALIE,,,ml17_280a_00830012
ml17_280a_0083_part13.wav,13,65,1:05,0.5193,ANOMALIE,,,ml17_280a_00830013
ml17_280a_0083_part14.wav,14,70,1:10,0.5319,ANOMALIE,,,ml17_280a_00830014
ml17_280a_0083_part15.wav,15,75,1:15,0.4676,ANOMALIE,,,ml17_280a_00830015
ml17_280a_0083_part16.wav,16,80,1:20,0.4385,ANOMALIE,,,ml17_280a_00830016
ml17_280a_0083_part17.wav,17,85,1:25,0.4752,ANOMALIE,,,ml17_280a_00830017
ml17_280a_0083_part18.wav,18,90,1:30,0.3925,ANOMALIE,,,ml17_280a_00830018
ml17_280a_0083_part19.wav,19,95,1:35,0.428,ANOMALIE,,,ml17_280a_00830019
ml17_280a_0083_part20.wav,20,100,1:40,0.5009,ANOMALIE,,,ml17_280a_00830020
ml17_280a_0083_part21.wav,21,105,1:45,0.4945,ANOMALIE,,,ml17_280a_00830021
ml17_280a_0083_part22.wav,22,110,1:50,0.396,ANOMALIE,,,ml17_280a_00830022
ml17_280a_0083_part23.wav,23,115,1:55,0.5177,ANOMALIE,,,ml17_280a_00830023
ml17_280a_0083_part24.wav,24,120,2:00,0.4962,ANOMALIE,,,ml17_280a_00830024
ml17_280a_0083_part25.wav,25,125,2:05,0.5406,ANOMALIE,,,ml17_280a_00830025
ml17_280a_0083_part26.wav,26,130,2:10,0.4764,ANOMALIE,,,ml17_280a_00830026
ml17_280a_0083_part27.wav,27,135,2:15,0.5412,ANOMALIE,,,ml17_280a_00830027
ml17_280a_0083_part28.wav,28,140,2:20,0.5251,ANOMALIE,,,ml17_280a_00830028
ml17_280a_0083_part29.wav,29,145,2:25,0.586,ANOMALIE,,,ml17_280a_00830029
ml17_280a_0083_part30.wav,30,150,2:30,0.5271,ANOMALIE,,,ml17_280a_00830030
ml17_280a_0083_part31.wav,31,155,2:35,0.6207,ANOMALIE,,,ml17_280a_00830031
ml17_280a_0083_part32.wav,32,160,2:40,0.5816,ANOMALIE,,,ml17_280a_00830032
ml17_280a_0083_part33.wav,33,165,2:45,0.582,ANOMALIE,,,ml17_280a_00830033
ml17_280a_0083_part34.wav,34,170,2:50,0.4709,ANOMALIE,,,ml17_280a_00830034
ml17_280a_0083_part35.wav,35,175,2:55,0.3699,ANOMALIE,,,ml17_280a_00830035
ml17_280a_0083_part36.wav,36,180,3:00,0.5655,ANOMALIE,,,ml17_280a_00830036
ml17_280a_0083_part37.wav,37,185,3:05,0.594,ANOMALIE,,,ml17_280a_00830037
ml17_280a_0083_part38.wav,38,190,3:10,0.251,ANOMALIE,,,ml17_280a_00830038
ml17_280a_0083_part39.wav,39,195,3:15,0.5449,ANOMALIE,,,ml17_280a_00830039
ml17_280a_0083_part40.wav,40,200,3:20,0.3611,ANOMALIE,,,ml17_280a_00830040
ml17_280a_0083_part41.wav,41,205,3:25,0.5447,ANOMALIE,,,ml17_280a_00830041
ml17_280a_0083_part42.wav,42,210,3:30,0.1477,RAS,,,ml17_280a_00830042
ml17_280a_0083_part43.wav,43,215,3:35,0.1312,RAS,,,ml17_280a_00830043
ml17_280a_0083_part44.wav,44,220,3:40,0.0927,RAS,,,ml17_280a_00830044
ml17_280a_0083_part45.wav,45,225,3:45,0.4501,ANOMALIE,,,ml17_280a_00830045
ml17_280a_0083_part46.wav,46,230,3:50,0.0808,RAS,,,ml17_280a_00830046
ml17_280a_0083_part47.wav,47,235,3:55,0.1663,RAS,,,ml17_280a_00830047
ml17_280a_0083_part48.wav,48,240,4:00,0.1515,RAS,,,ml17_280a_00830048
ml17_280a_0083_part49.wav,49,245,4:05,0.3825,ANOMALIE,,,ml17_280a_00830049
ml17_280a_0083_part50.wav,50,250,4:10,0.1152,RAS,,,ml17_280a_00830050
ml17_280a_0083_part51.wav,51,255,4:15,0.2795,ANOMALIE,,,ml17_280a_00830051
ml17_280a_0083_part52.wav,52,260,4:20,0.3049,ANOMALIE,,,ml17_280a_00830052
ml17_280a_0083_part53.wav,53,265,4:25,0.1128,RAS,,,ml17_280a_00830053
ml17_280a_0083_part54.wav,54,270,4:30,0.0976,RAS,,,ml17_280a_00830054
ml17_280a_0083_part55.wav,55,275,4:35,0.3223,ANOMALIE,,,ml17_280a_00830055
ml17_280a_0083_part56.wav,56,280,4:40,0.1094,RAS,,,ml17_280a_00830056
ml17_280a_0083_part57.wav,57,285,4:45,0.228,RAS,,,ml17_280a_00830057
ml17_280a_0083_part58.wav,58,290,4:50,0.16,RAS,,,ml17_280a_00830058
ml17_280a_0083_part59.wav,59,295,4:55,0.1812,RAS,,,ml17_280a_00830059
ml17_280a_0083_part60.wav,60,300,5:00,0.1641,RAS,,,ml17_280a_00830060
ml17_280a_0083_part61.wav,61,305,5:05,0.1273,RAS,,,ml17_280a_00830061
ml17_280a_0083_part62.wav,62,310,5:10,0.1002,RAS,,,ml17_280a_00830062
ml17_280a_0083_part63.wav,63,315,5:15,0.2116,RAS,,,ml17_280a_00830063
ml17_280a_0083_part64.wav,64,320,5:20,0.2144,RAS,,,ml17_280a_00830064
ml17_280a_0083_part65.wav,65,325,5:25,0.1929,RAS,,,ml17_280a_00830065
ml17_280a_0083_part66.wav,66,330,5:30,0.2615,ANOMALIE,,,ml17_280a_00830066
ml17_280a_0083_part67.wav,67,335,5:35,0.1997,RAS,,,ml17_280a_00830067
ml17_280a_0083_part68.wav,68,340,5:40,0.1965,RAS,,,ml17_280a_00830068
ml17_280a_0083_part69.wav,69,345,5:45,0.3566,ANOMALIE,,,ml17_280a_00830069
ml17_280a_0083_part70.wav,70,350,5:50,0.399,ANOMALIE,,,ml17_280a_00830070
ml17_280a_0083_part71.wav,71,355,5:55,0.101,RAS,,,ml17_280a_00830071
ml17_280a_0083_part72.wav,72,360,6:00,0.5406,ANOMALIE,,,ml17_280a_00830072
ml17_280a_0083_part73.wav,73,365,6:05,0.2359,RAS,,,ml17_280a_00830073
ml17_280a_0083_part74.wav,74,370,6:10,0.4341,ANOMALIE,,,ml17_280a_00830074
ml17_280a_0083_part75.wav,75,375,6:15,0.494,ANOMALIE,,,ml17_280a_00830075
ml17_280a_0083_part76.wav,76,380,6:20,0.4271,ANOMALIE,,,ml17_280a_00830076
ml17_280a_0083_part77.wav,77,385,6:25,0.5951,ANOMALIE,,,ml17_280a_00830077
ml17_280a_0083_part78.wav,78,390,6:30,0.3721,ANOMALIE,,,ml17_280a_00830078
ml17_280a_0083_part79.wav,79,395,6:35,0.4555,ANOMALIE,,,ml17_280a_00830079
ml17_280a_0083_part80.wav,80,400,6:40,0.405,ANOMALIE,,,ml17_280a_00830080
ml17_280a_0083_part81.wav,81,405,6:45,0.5366,ANOMALIE,,,ml17_280a_00830081
ml17_280a_0083_part82.wav,82,410,6:50,0.338,ANOMALIE,,,ml17_280a_00830082
ml17_280a_0083_part83.wav,83,415,6:55,0.5422,ANOMALIE,,,ml17_280a_00830083
ml17_280a_0083_part84.wav,84,420,7:00,0.5353,ANOMALIE,,,ml17_280a_00830084
ml17_280a_0088_part0.wav,0,0,0:00,0.1259,RAS,,,ml17_280a_00880000
ml17_280a_0088_part1.wav,1,5,0:05,0.107,RAS,,,ml17_280a_00880001
ml17_280a_0088_part2.wav,2,10,0:10,0.1587,RAS,,,ml17_280a_00880002
ml17_280a_0088_part3.wav,3,15,0:15,0.1443,RAS,,,ml17_280a_00880003
ml17_280a_0088_part4.wav,4,20,0:20,0.1731,RAS,,,ml17_280a_00880004
ml17_280a_0088_part5.wav,5,25,0:25,0.1162,RAS,,,ml17_280a_00880005
ml17_280a_0088_part6.wav,6,30,0:30,0.1028,RAS,,,ml17_280a_00880006
ml17_280a_0088_part7.wav,7,35,0:35,0.1273,RAS,,,ml17_280a_00880007
ml17_280a_0088_part8.wav,8,40,0:40,0.1527,RAS,,,ml17_280a_00880008
ml17_280a_0088_part9.wav,9,45,0:45,0.143,RAS,,,ml17_280a_00880009
ml17_280a_0088_part10.wav,10,50,0:50,0.106,RAS,,,ml17_280a_00880010
ml17_280a_0088_part11.wav,11,55,0:55,0.1637,RAS,,,ml17_280a_00880011
ml17_280a_0088_part12.wav,12,60,1:00,0.1452,RAS,,,ml17_280a_00880012
ml17_280a_0088_part13.wav,13,65,1:05,0.1478,RAS,,,ml17_280a_00880013
ml17_280a_0088_part14.wav,14,70,1:10,0.15,RAS,,,ml17_280a_00880014
ml17_280a_0088_part15.wav,15,75,1:15,0.1241,RAS,,,ml17_280a_00880015
ml17_280a_0088_part16.wav,16,80,1:20,0.1058,RAS,,,ml17_280a_00880016
ml17_280a_0088_part17.wav,17,85,1:25,0.0985,RAS,,,ml17_280a_00880017
ml17_280a_0088_part18.wav,18,90,1:30,0.1286,RAS,,,ml17_280a_00880018
ml17_280a_0088_part19.wav,19,95,1:35,0.138,RAS,,,ml17_280a_00880019
ml17_280a_0088_part20.wav,20,100,1:40,0.1453,RAS,,,ml17_280a_00880020
ml17_280a_0088_part21.wav,21,105,1:45,0.1324,RAS,,,ml17_280a_00880021
ml17_280a_0088_part22.wav,22,110,1:50,0.124,RAS,,,ml17_280a_00880022
ml17_280a_0088_part23.wav,23,115,1:55,0.1241,RAS,,,ml17_280a_00880023
ml17_280a_0088_part24.wav,24,120,2:00,0.1131,RAS,,,ml17_280a_00880024
ml17_280a_0088_part25.wav,25,125,2:05,0.1344,RAS,,,ml17_280a_00880025
ml17_280a_0088_part26.wav,26,130,2:10,0.1032,RAS,,,ml17_280a_00880026
ml17_280a_0088_part27.wav,27,135,2:15,0.136,RAS,,,ml17_280a_00880027
ml17_280a_0088_part28.wav,28,140,2:20,0.1166,RAS,,,ml17_280a_00880028
ml17_280a_0088_part29.wav,29,145,2:25,0.0923,RAS,,,ml17_280a_00880029
ml17_280a_0088_part30.wav,30,150,2:30,0.1883,RAS,,,ml17_280a_00880030
ml17_280a_0088_part31.wav,31,155,2:35,0.1,RAS,,,ml17_280a_00880031
ml17_280a_0088_part32.wav,32,160,2:40,0.143,RAS,,,ml17_280a_00880032
ml17_280a_0088_part33.wav,33,165,2:45,0.2072,RAS,,,ml17_280a_00880033
ml17_280a_0088_part34.wav,34,170,2:50,0.1771,RAS,,,ml17_280a_00880034
ml17_280a_0088_part35.wav,35,175,2:55,0.1315,RAS,,,ml17_280a_00880035
ml17_280a_0088_part36.wav,36,180,3:00,0.1537,RAS,,,ml17_280a_00880036
ml17_280a_0088_part37.wav,37,185,3:05,0.1156,RAS,,,ml17_280a_00880037
ml17_280a_0088_part38.wav,38,190,3:10,0.1202,RAS,,,ml17_280a_00880038
ml17_280a_0088_part39.wav,39,195,3:15,0.0821,RAS,,,ml17_280a_00880039
ml17_280a_0088_part40.wav,40,200,3:20,0.1057,RAS,,,ml17_280a_00880040
ml17_280a_0088_part41.wav,41,205,3:25,0.1461,RAS,,,ml17_280a_00880041
ml17_280a_0088_part42.wav,42,210,3:30,0.0934,RAS,,,ml17_280a_00880042
ml17_280a_0088_part43.wav,43,215,3:35,0.1078,RAS,,,ml17_280a_00880043
ml17_280a_0088_part44.wav,44,220,3:40,0.1106,RAS,,,ml17_280a_00880044
ml17_280a_0088_part45.wav,45,225,3:45,0.1057,RAS,,,ml17_280a_00880045
ml17_280a_0088_part46.wav,46,230,3:50,0.1165,RAS,,,ml17_280a_00880046
ml17_280a_0088_part47.wav,47,235,3:55,0.11,RAS,,,ml17_280a_00880047
ml17_280a_0088_part48.wav,48,240,4:00,0.1389,RAS,,,ml17_280a_00880048
ml17_280a_0088_part49.wav,49,245,4:05,0.129,RAS,,,ml17_280a_00880049
ml17_280a_0088_part50.wav,50,250,4:10,0.1167,RAS,,,ml17_280a_00880050
ml17_280a_0088_part51.wav,51,255,4:15,0.1429,RAS,,,ml17_280a_00880051
ml17_280a_0088_part52.wav,52,260,4:20,0.1096,RAS,,,ml17_280a_00880052
ml17_280a_0088_part53.wav,53,265,4:25,0.1028,RAS,,,ml17_280a_00880053
ml17_280a_0088_part54.wav,54,270,4:30,0.1249,RAS,,,ml17_280a_00880054
ml17_280a_0088_part55.wav,55,275,4:35,0.1189,RAS,,,ml17_280a_00880055
ml17_280a_0088_part56.wav,56,280,4:40,0.1352,RAS,,,ml17_280a_00880056
ml17_280a_0088_part57.wav,57,285,4:45,0.1014,RAS,,,ml17_280a_00880057
ml17_280a_0088_part58.wav,58,290,4:50,0.1799,RAS,,,ml17_280a_00880058
ml17_280a_0088_part59.wav,59,295,4:55,0.1021,RAS,,,ml17_280a_00880059
ml17_280a_0088_part60.wav,60,300,5:00,0.1791,RAS,,,ml17_280a_00880060
ml17_280a_0088_part61.wav,61,305,5:05,0.1536,RAS,,,ml17_280a_00880061
ml17_280a_0088_part62.wav,62,310,5:10,0.1395,RAS,,,ml17_280a_00880062
ml17_280a_0088_part63.wav,63,315,5:15,0.1139,RAS,,,ml17_280a_00880063
ml17_280a_0088_part64.wav,64,320,5:20,0.0969,RAS,,,ml17_280a_00880064
ml17_280a_0088_part65.wav,65,325,5:25,0.1122,RAS,,,ml17_280a_00880065
ml17_280a_0088_part66.wav,66,330,5:30,0.0957,RAS,,,ml17_280a_00880066
ml17_280a_0088_part67.wav,67,335,5:35,0.1392,RAS,,,ml17_280a_00880067
ml17_280a_0088_part68.wav,68,340,5:40,0.1296,RAS,,,ml17_280a_00880068
ml17_280a_0088_part69.wav,69,345,5:45,0.0996,RAS,,,ml17_280a_00880069
ml17_280a_0088_part70.wav,70,350,5:50,0.1301,RAS,,,ml17_280a_00880070
ml17_280a_0088_part71.wav,71,355,5:55,0.1096,RAS,,,ml17_280a_00880071
ml17_280a_0088_part72.wav,72,360,6:00,0.2291,RAS,,,ml17_280a_00880072
ml17_280a_0088_part73.wav,73,365,6:05,0.1614,RAS,,,ml17_280a_00880073
ml17_280a_0088_part74.wav,74,370,6:10,0.1269,RAS,,,ml17_280a_00880074
ml17_280a_0088_part75.wav,75,375,6:15,0.1682,RAS,,,ml17_280a_00880075
ml17_280a_0088_part76.wav,76,380,6:20,0.0978,RAS,,,ml17_280a_00880076
ml17_280a_0088_part77.wav,77,385,6:25,0.1017,RAS,,,ml17_280a_00880077
ml17_280a_0088_part78.wav,78,390,6:30,0.1325,RAS,,,ml17_280a_00880078
ml17_280a_0088_part79.wav,79,395,6:35,0.1303,RAS,,,ml17_280a_00880079
ml17_280a_0088_part80.wav,80,400,6:40,0.086,RAS,,,ml17_280a_00880080
ml17_280a_0088_part81.wav,81,405,6:45,0.1055,RAS,,,ml17_280a_00880081
ml17_280a_0088_part82.wav,82,410,6:50,0.1465,RAS,,,ml17_280a_00880082
ml17_280a_0088_part83.wav,83,415,6:55,0.2396,RAS,,,ml17_280a_00880083
ml17_280a_0088_part84.wav,84,420,7:00,0.1136,RAS,,,ml17_280a_00880084
ml17_280a_0088_part85.wav,85,425,7:05,0.1616,RAS,,,ml17_280a_00880085
ml17_280a_0088_part86.wav,86,430,7:10,0.1187,RAS,,,ml17_280a_00880086
ml17_280a_0088_part87.wav,87,435,7:15,0.1188,RAS,,,ml17_280a_00880087
ml17_280a_0088_part88.wav,88,440,7:20,0.1203,RAS,,,ml17_280a_00880088
ml17_280a_0088_part89.wav,89,445,7:25,0.1054,RAS,,,ml17_280a_00880089
ml17_280a_0088_part90.wav,90,450,7:30,0.1543,RAS,,,ml17_280a_00880090
ml17_280a_0088_part91.wav,91,455,7:35,0.1088,RAS,,,ml17_280a_00880091
ml17_280a_0088_part92.wav,92,460,7:40,0.1194,RAS,,,ml17_280a_00880092
ml17_280a_0088_part93.wav,93,465,7:45,0.1488,RAS,,,ml17_280a_00880093
ml17_280a_0088_part94.wav,94,470,7:50,0.1302,RAS,,,ml17_280a_00880094
ml17_280a_0088_part95.wav,95,475,7:55,0.107,RAS,,,ml17_280a_00880095
ml17_280a_0088_part96.wav,96,480,8:00,0.1659,RAS,,,ml17_280a_00880096
ml17_280a_0088_part97.wav,97,485,8:05,0.1156,RAS,,,ml17_280a_00880097
ml17_280a_0088_part98.wav,98,490,8:10,0.1017,RAS,,,ml17_280a_00880098
ml17_280a_0088_part99.wav,99,495,8:15,0.1082,RAS,,,ml17_280a_00880099
ml17_280a_0088_part100.wav,100,500,8:20,0.1247,RAS,,,ml17_280a_00880100
ml17_280a_0088_part101.wav,101,505,8:25,0.1035,RAS,,,ml17_280a_00880101
ml17_280a_0088_part102.wav,102,510,8:30,0.1486,RAS,,,ml17_280a_00880102
ml17_280a_0088_part103.wav,103,515,8:35,0.1364,RAS,,,ml17_280a_00880103
ml17_280a_0088_part104.wav,104,520,8:40,0.1014,RAS,,,ml17_280a_00880104
ml17_280a_0088_part105.wav,105,525,8:45,0.1262,RAS,,,ml17_280a_00880105
ml17_280a_0088_part106.wav,106,530,8:50,0.1311,RAS,,,ml17_280a_00880106
ml17_280a_0088_part107.wav,107,535,8:55,0.123,RAS,,,ml17_280a_00880107
ml17_280a_0088_part108.wav,108,540,9:00,0.1011,RAS,,,ml17_280a_00880108
ml17_280a_0088_part109.wav,109,545,9:05,0.1253,RAS,,,ml17_280a_00880109
ml17_280a_0088_part110.wav,110,550,9:10,0.0826,RAS,,,ml17_280a_00880110
ml17_280a_0088_part111.wav,111,555,9:15,0.1786,RAS,,,ml17_280a_00880111
ml17_280a_0088_part112.wav,112,560,9:20,0.1025,RAS,,,ml17_280a_00880112
ml17_280a_0088_part113.wav,113,565,9:25,0.1239,RAS,,,ml17_280a_00880113
ml17_280a_0088_part114.wav,114,570,9:30,0.0944,RAS,,,ml17_280a_00880114
ml17_280a_0088_part115.wav,115,575,9:35,0.0901,RAS,,,ml17_280a_00880115
ml17_280a_0088_part116.wav,116,580,9:40,0.1235,RAS,,,ml17_280a_00880116
ml17_280a_0088_part117.wav,117,585,9:45,0.0826,RAS,,,ml17_280a_00880117
ml17_280a_0088_part118.wav,118,590,9:50,0.1424,RAS,,,ml17_280a_00880118
ml17_280a_0088_part119.wav,119,595,9:55,0.127,RAS,,,ml17_280a_00880119
ml17_280a_0088_part120.wav,120,600,10:00,0.1516,RAS,,,ml17_280a_00880120
ml17_280a_0088_part121.wav,121,605,10:05,0.1655,RAS,,,ml17_280a_00880121
ml17_280a_0088_part122.wav,122,610,10:10,0.1459,RAS,,,ml17_280a_00880122
ml17_280a_0088_part123.wav,123,615,10:15,0.1267,RAS,,,ml17_280a_00880123
ml17_280a_0088_part124.wav,124,620,10:20,0.1155,RAS,,,ml17_280a_00880124
ml17_280a_0088_part125.wav,125,625,10:25,0.0982,RAS,,,ml17_280a_00880125
ml17_280a_0088_part126.wav,126,630,10:30,0.1389,RAS,,,ml17_280a_00880126
ml17_280a_0088_part127.wav,127,635,10:35,0.1456,RAS,,,ml17_280a_00880127
ml17_280a_0088_part128.wav,128,640,10:40,0.1925,RAS,,,ml17_280a_00880128
ml17_280a_0088_part129.wav,129,645,10:45,0.1159,RAS,,,ml17_280a_00880129
ml17_280a_0088_part130.wav,130,650,10:50,0.119,RAS,,,ml17_280a_00880130
ml17_280a_0088_part131.wav,131,655,10:55,0.1027,RAS,,,ml17_280a_00880131
ml17_280a_0088_part132.wav,132,660,11:00,0.1253,RAS,,,ml17_280a_00880132
ml17_280a_0088_part133.wav,133,665,11:05,0.0861,RAS,,,ml17_280a_00880133
ml17_280a_0088_part134.wav,134,670,11:10,0.1516,RAS,,,ml17_280a_00880134
ml17_280a_0088_part135.wav,135,675,11:15,0.1202,RAS,,,ml17_280a_00880135
ml17_280a_0088_part136.wav,136,680,11:20,0.1046,RAS,,,ml17_280a_00880136
ml17_280a_0088_part137.wav,137,685,11:25,0.1693,RAS,,,ml17_280a_00880137
ml17_280a_0088_part138.wav,138,690,11:30,0.1469,RAS,,,ml17_280a_00880138
ml17_280a_0088_part139.wav,139,695,11:35,0.1514,RAS,,,ml17_280a_00880139
ml17_280a_0088_part140.wav,140,700,11:40,0.096,RAS,,,ml17_280a_00880140
ml17_280a_0088_part141.wav,141,705,11:45,0.124,RAS,,,ml17_280a_00880141
ml17_280a_0088_part142.wav,142,710,11:50,0.1941,RAS,,,ml17_280a_00880142
ml17_280a_0088_part143.wav,143,715,11:55,0.1174,RAS,,,ml17_280a_00880143
ml17_280a_0088_part144.wav,144,720,12:00,0.1106,RAS,,,ml17_280a_00880144
ml17_280a_0088_part145.wav,145,725,12:05,0.1217,RAS,,,ml17_280a_00880145
ml17_280a_0088_part146.wav,146,730,12:10,0.0898,RAS,,,ml17_280a_00880146
ml17_280a_0088_part147.wav,147,735,12:15,0.1331,RAS,,,ml17_280a_00880147
ml17_280a_0088_part148.wav,148,740,12:20,0.1308,RAS,,,ml17_280a_00880148
ml17_280a_0088_part149.wav,149,745,12:25,0.0988,RAS,,,ml17_280a_00880149
ml17_280a_0088_part150.wav,150,750,12:30,0.1098,RAS,,,ml17_280a_00880150
ml17_280a_0088_part151.wav,151,755,12:35,0.2246,RAS,,,ml17_280a_00880151
ml17_280a_0088_part152.wav,152,760,12:40,0.1512,RAS,,,ml17_280a_00880152
ml17_280a_0088_part153.wav,153,765,12:45,0.1717,RAS,,,ml17_280a_00880153
ml17_280a_0088_part154.wav,154,770,12:50,0.0857,RAS,,,ml17_280a_00880154
ml17_280a_0088_part155.wav,155,775,12:55,0.132,RAS,,,ml17_280a_00880155
ml17_280a_0088_part156.wav,156,780,13:00,0.107,RAS,,,ml17_280a_00880156
ml17_280a_0088_part157.wav,157,785,13:05,0.0974,RAS,,,ml17_280a_00880157
ml17_280a_0088_part158.wav,158,790,13:10,0.208,RAS,,,ml17_280a_00880158
ml17_280a_0088_part159.wav,159,795,13:15,0.1206,RAS,,,ml17_280a_00880159
ml17_280a_0088_part160.wav,160,800,13:20,0.122,RAS,,,ml17_280a_00880160
